Date,Local.Time,Latitude,Longitude,Magnitude.ML.,Epicentre
4/26/2015,6:16,27.84,85.12,4,Nuwakot
4/26/2015,6:00,27.67,85.28,4,Kathmandu
4/26/2015,5:32,28.05,85.34,4,Rasuwa
4/26/2015,5:26,27.67,86.07,4.5,Dolakha
4/26/2015,5:25,27.69,85.25,4,Kathmandu
4/26/2015,5:01,27.99,85.02,5.5,Nuwakot
4/26/2015,2:52,27.82,85.8,4.8,Sindhupalchowk
4/26/2015,2:49,27.98,84.99,4,Gorkha
4/26/2015,2:17,27.6,85.96,4.8,Sindhupalchowk
4/26/2015,2:14,28.24,84.82,4.3,Gorkha
4/26/2015,2:08,28.25,85.83,4,Rasuwa
4/26/2015,1:56,27.93,85.56,4.4,Sindhupalchowk
4/26/2015,1:52,28.14,84.71,4.2,Gorkha
4/26/2015,1:49,28.05,85.35,4,Rasuwa
4/26/2015,1:29,27.93,85.56,4.1,Sindhupalchowk
4/26/2015,0:43,27.71,85.43,4.6,Kathmandu
4/26/2015,0:14,27.94,85.55,4.1,Sindhupalchowk
4/25/2015,23:46,27.78,85.98,4.1,Sindhupalchowk
4/25/2015,23:40,28.1,85.27,4,Rasuwa
4/25/2015,23:27,28.34,85.91,5.6,Tibet
4/25/2015,23:25,27.78,85.17,4,Nuwakot
4/25/2015,23:24,27.9,85.53,4,Sindhupalchowk
4/25/2015,23:19,27.77,85.83,4.1,Sindhupalchowk
4/25/2015,22:31,27.8,85.29,4,Nuwakot
4/25/2015,22:12,27.92,85.64,5.3,Sindhupalchowk
4/25/2015,21:02,27.95,85.56,4.2,Sindhupalchowk
4/25/2015,20:36,28.14,85.16,4.4,Rasuwa
4/25/2015,20:25,27.73,85.9,5,Sindhupalchowk
4/25/2015,20:21,27.6,86.09,4.5,Dolakha
4/25/2015,20:08,28.05,85.25,4.1,Rasuwa
4/25/2015,19:55,27.73,85.9,4.7,Sindhupalchowk
4/25/2015,19:47,27.68,85.32,4.1,Kathmandu
4/25/2015,19:38,27.79,85.16,4.1,Nuwakot
4/25/2015,19:21,27.69,86.02,4.9,Dolakha
4/25/2015,19:15,28.1,85.2,4.7,Rasuwa
4/25/2015,18:29,28.16,84.71,5.5,Gorkha
4/25/2015,18:24,27.82,86.05,4.5,Dolakha
4/25/2015,18:02,28,85.4,4.9,Nuwakot
4/25/2015,17:26,28.14,85.28,4.1,Rasuwa
4/25/2015,16:50,27.91,85.5,4.6,Sindhupalchowk
4/25/2015,16:25,27.86,85.85,4,Sindhupalchowk
4/25/2015,16:08,27.87,85.8,4.1,Sindhupalchowk
4/25/2015,15:28,28.29,85.16,4.6,Rasuwa
4/25/2015,15:15,28,85.6,5.5,Sindhupalchowk
4/25/2015,14:48,27.91,85.33,5.3,Nuwakot
4/25/2015,14:40,27.65,85.63,5.7,Kabre
4/25/2015,14:14,28.18,84.95,5.2,Gorkha
4/25/2015,14:05,27.9,84.86,5.1,Dhading
4/25/2015,14:02,27.78,85.84,5.2,Sindhupalchowk
4/25/2015,13:32,27.99,85.71,5.1,Tibet
4/25/2015,12:53,28.2,85.75,5.3,Rasuwa
4/25/2015,12:41,28.13,85.65,5.7,Rasuwa
4/25/2015,12:30,28.28,84.72,6.6,Gorkha
4/25/2015,12:23,28.41,85.8,5.5,Tibet
4/25/2015,11:56,28.24,84.75,7.6,Gorkha
